ESTAR: Stopping Powers and Range Tables for Electrons

GOLD                                                                   

Kinetic   Total     D. Effect 
Energy    Stp. Pow. Parameter 
MeV       MeV cm2/g           

1.000E-02 8.694E+00 6.025E-04 
1.500E-02 6.763E+00 9.470E-04 
2.000E-02 5.621E+00 1.323E-03 
2.500E-02 4.861E+00 1.735E-03 
3.000E-02 4.315E+00 2.183E-03 
3.500E-02 3.902E+00 2.673E-03 
4.000E-02 3.579E+00 3.208E-03 
4.500E-02 3.318E+00 3.791E-03 
5.000E-02 3.102E+00 4.427E-03 
6.000E-02 2.768E+00 5.877E-03 
7.000E-02 2.519E+00 7.597E-03 
8.000E-02 2.327E+00 9.624E-03 
9.000E-02 2.174E+00 1.199E-02 
1.000E-01 2.049E+00 1.471E-02 
1.500E-01 1.663E+00 3.231E-02 
2.000E-01 1.466E+00 5.187E-02 
2.500E-01 1.349E+00 7.074E-02 
3.000E-01 1.274E+00 8.883E-02 
3.500E-01 1.224E+00 1.063E-01 
4.000E-01 1.189E+00 1.234E-01 
4.500E-01 1.164E+00 1.401E-01 
5.000E-01 1.147E+00 1.566E-01 
6.000E-01 1.127E+00 1.891E-01 
7.000E-01 1.119E+00 2.209E-01 
8.000E-01 1.118E+00 2.524E-01 
9.000E-01 1.122E+00 2.835E-01 
1.000E+00 1.129E+00 3.143E-01 
1.500E+00 1.186E+00 4.643E-01 
2.000E+00 1.255E+00 6.052E-01 
2.500E+00 1.327E+00 7.354E-01 
3.000E+00 1.400E+00 8.551E-01 
3.111E+00 1.416E+00 8.804E-01 
3.500E+00 1.472E+00 9.655E-01 
4.000E+00 1.544E+00 1.068E+00 
4.500E+00 1.615E+00 1.163E+00 
5.000E+00 1.686E+00 1.253E+00 
5.222E+00 1.717E+00 1.291E+00 
6.000E+00 1.827E+00 1.417E+00 
7.000E+00 1.967E+00 1.565E+00 
7.333E+00 2.013E+00 1.611E+00 
8.000E+00 2.106E+00 1.699E+00 
9.000E+00 2.245E+00 1.823E+00 
9.444E+00 2.307E+00 1.874E+00 
1.000E+01 2.385E+00 1.937E+00 
1.155E+01 2.601E+00 2.100E+00 
1.367E+01 2.896E+00 2.297E+00 
1.500E+01 3.083E+00 2.410E+00 
1.578E+01 3.193E+00 2.472E+00 
1.789E+01 3.490E+00 2.630E+00 
2.000E+01 3.788E+00 2.775E+00 
2.500E+01 4.500E+00 3.075E+00 
3.000E+01 5.217E+00 3.331E+00 
3.500E+01 5.939E+00 3.556E+00 
4.000E+01 6.666E+00 3.757E+00 
4.500E+01 7.396E+00 3.939E+00 
5.000E+01 8.129E+00 4.105E+00 
6.000E+01 9.604E+00 4.399E+00 
7.000E+01 1.109E+01 4.653E+00 
8.000E+01 1.258E+01 4.878E+00 
9.000E+01 1.407E+01 5.080E+00 
1.000E+02 1.557E+01 5.262E+00 
1.500E+02 2.312E+01 5.983E+00 
2.000E+02 3.072E+01 6.510E+00 
2.500E+02 3.833E+01 6.926E+00 
3.000E+02 4.596E+01 7.271E+00 
3.500E+02 5.360E+01 7.564E+00 
4.000E+02 6.125E+01 7.820E+00 
4.500E+02 6.891E+01 8.047E+00 
5.000E+02 7.656E+01 8.251E+00 
6.000E+02 9.190E+01 8.605E+00 
7.000E+02 1.072E+02 8.905E+00 
8.000E+02 1.226E+02 9.167E+00 
9.000E+02 1.380E+02 9.398E+00 
1.000E+03 1.533E+02 9.605E+00 
