ESTAR: Stopping Powers and Range Tables for Electrons

CARBON (GRAPHITE)                                                              

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-02 2.014E+01 
1.250E-02 1.695E+01 
1.500E-02 1.471E+01 
1.750E-02 1.305E+01 
2.000E-02 1.177E+01 
2.500E-02 9.916E+00 
3.000E-02 8.629E+00 
3.500E-02 7.682E+00 
4.000E-02 6.953E+00 
4.500E-02 6.375E+00 
5.000E-02 5.904E+00 
5.500E-02 5.513E+00 
6.000E-02 5.183E+00 
7.000E-02 4.655E+00 
8.000E-02 4.252E+00 
9.000E-02 3.935E+00 
1.000E-01 3.677E+00 
1.250E-01 3.207E+00 
1.500E-01 2.890E+00 
1.750E-01 2.661E+00 
2.000E-01 2.489E+00 
2.500E-01 2.249E+00 
3.000E-01 2.092E+00 
3.500E-01 1.981E+00 
4.000E-01 1.901E+00 
4.500E-01 1.841E+00 
5.000E-01 1.794E+00 
5.500E-01 1.758E+00 
6.000E-01 1.729E+00 
7.000E-01 1.687E+00 
8.000E-01 1.659E+00 
9.000E-01 1.640E+00 
1.000E+00 1.627E+00 
1.250E+00 1.612E+00 
1.500E+00 1.609E+00 
1.750E+00 1.613E+00 
2.000E+00 1.619E+00 
2.500E+00 1.637E+00 
3.000E+00 1.657E+00 
3.500E+00 1.677E+00 
4.000E+00 1.697E+00 
4.500E+00 1.716E+00 
5.000E+00 1.735E+00 
5.500E+00 1.753E+00 
6.000E+00 1.771E+00 
7.000E+00 1.804E+00 
8.000E+00 1.836E+00 
9.000E+00 1.867E+00 
1.000E+01 1.896E+00 
1.250E+01 1.966E+00 
1.500E+01 2.032E+00 
1.750E+01 2.095E+00 
2.000E+01 2.157E+00 
2.500E+01 2.278E+00 
3.000E+01 2.396E+00 
3.500E+01 2.512E+00 
4.000E+01 2.627E+00 
4.500E+01 2.742E+00 
5.000E+01 2.857E+00 
5.500E+01 2.971E+00 
6.000E+01 3.085E+00 
7.000E+01 3.313E+00 
8.000E+01 3.541E+00 
9.000E+01 3.768E+00 
1.000E+02 3.996E+00 
1.250E+02 4.566E+00 
1.500E+02 5.136E+00 
1.750E+02 5.708E+00 
2.000E+02 6.280E+00 
2.500E+02 7.426E+00 
3.000E+02 8.575E+00 
3.500E+02 9.725E+00 
4.000E+02 1.088E+01 
4.500E+02 1.203E+01 
5.000E+02 1.318E+01 
5.500E+02 1.434E+01 
6.000E+02 1.549E+01 
7.000E+02 1.780E+01 
8.000E+02 2.012E+01 
9.000E+02 2.243E+01 
1.000E+03 2.475E+01 
