ESTAR: Stopping Powers and Range Tables for Electrons

LITHIUM                                                                   

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-02 1.976E+01 
1.250E-02 1.654E+01 
1.500E-02 1.431E+01 
1.750E-02 1.266E+01 
2.000E-02 1.139E+01 
2.500E-02 9.554E+00 
3.000E-02 8.290E+00 
3.500E-02 7.362E+00 
4.000E-02 6.651E+00 
4.500E-02 6.088E+00 
5.000E-02 5.630E+00 
5.500E-02 5.251E+00 
6.000E-02 4.931E+00 
7.000E-02 4.421E+00 
8.000E-02 4.032E+00 
9.000E-02 3.726E+00 
1.000E-01 3.479E+00 
1.250E-01 3.028E+00 
1.500E-01 2.723E+00 
1.750E-01 2.504E+00 
2.000E-01 2.340E+00 
2.500E-01 2.112E+00 
3.000E-01 1.961E+00 
3.500E-01 1.857E+00 
4.000E-01 1.780E+00 
4.500E-01 1.723E+00 
5.000E-01 1.679E+00 
5.500E-01 1.644E+00 
6.000E-01 1.617E+00 
7.000E-01 1.577E+00 
8.000E-01 1.551E+00 
9.000E-01 1.534E+00 
1.000E+00 1.522E+00 
1.250E+00 1.508E+00 
1.500E+00 1.505E+00 
1.750E+00 1.508E+00 
2.000E+00 1.514E+00 
2.500E+00 1.529E+00 
3.000E+00 1.544E+00 
3.500E+00 1.559E+00 
4.000E+00 1.572E+00 
4.500E+00 1.585E+00 
5.000E+00 1.597E+00 
5.500E+00 1.608E+00 
6.000E+00 1.619E+00 
7.000E+00 1.639E+00 
8.000E+00 1.658E+00 
9.000E+00 1.675E+00 
1.000E+01 1.692E+00 
1.250E+01 1.731E+00 
1.500E+01 1.768E+00 
1.750E+01 1.803E+00 
2.000E+01 1.837E+00 
2.500E+01 1.904E+00 
3.000E+01 1.968E+00 
3.500E+01 2.031E+00 
4.000E+01 2.094E+00 
4.500E+01 2.155E+00 
5.000E+01 2.217E+00 
5.500E+01 2.278E+00 
6.000E+01 2.339E+00 
7.000E+01 2.460E+00 
8.000E+01 2.580E+00 
9.000E+01 2.700E+00 
1.000E+02 2.820E+00 
1.250E+02 3.120E+00 
1.500E+02 3.419E+00 
1.750E+02 3.718E+00 
2.000E+02 4.017E+00 
2.500E+02 4.616E+00 
3.000E+02 5.215E+00 
3.500E+02 5.815E+00 
4.000E+02 6.416E+00 
4.500E+02 7.016E+00 
5.000E+02 7.618E+00 
5.500E+02 8.220E+00 
6.000E+02 8.822E+00 
7.000E+02 1.003E+01 
8.000E+02 1.123E+01 
9.000E+02 1.244E+01 
1.000E+03 1.365E+01 
