Photon    Compton   Pair production
                    Nuclear   Electrons
MeV       cm2/g     cm2/g     cm2/g 

5.000E-01 6.830E-02 0.000E+00 0.000E+00
6.000E-01 6.353E-02 0.000E+00 0.000E+00
8.000E-01 5.613E-02 0.000E+00 0.000E+00
1.000E+00 5.063E-02 0.000E+00 0.000E+00
1.022E+00 5.011E-02 0.000E+00 0.000E+00
1.250E+00 4.537E-02 3.596E-04 0.000E+00
1.500E+00 4.131E-02 1.703E-03 0.000E+00
2.000E+00 3.531E-02 5.192E-03 0.000E+00
2.044E+00 3.485E-02 5.500E-03 0.000E+00
3.000E+00 2.781E-02 1.153E-02 9.717E-06
4.000E+00 2.321E-02 1.670E-02 3.959E-05
5.000E+00 2.005E-02 2.102E-02 7.876E-05
6.000E+00 1.772E-02 2.475E-02 1.207E-04
7.000E+00 1.593E-02 2.803E-02 1.625E-04
8.000E+00 1.450E-02 3.097E-02 2.028E-04
9.000E+00 1.333E-02 3.366E-02 2.414E-04
1.000E+01 1.235E-02 3.614E-02 2.779E-04
1.100E+01 1.152E-02 3.840E-02 3.125E-04
1.200E+01 1.080E-02 4.054E-02 3.449E-04
1.300E+01 1.018E-02 4.253E-02 3.755E-04
1.400E+01 9.631E-03 4.439E-02 4.045E-04
1.500E+01 9.145E-03 4.611E-02 4.317E-04
1.600E+01 8.708E-03 4.773E-02 4.577E-04
1.800E+01 7.959E-03 5.066E-02 5.060E-04
2.000E+01 7.338E-03 5.326E-02 5.494E-04
2.200E+01 6.818E-03 5.561E-02 5.892E-04
2.400E+01 6.369E-03 5.776E-02 6.256E-04
2.600E+01 5.980E-03 5.974E-02 6.592E-04
2.800E+01 5.644E-03 6.152E-02 6.904E-04
3.000E+01 5.344E-03 6.320E-02 7.191E-04
4.000E+01 4.247E-03 6.998E-02 8.374E-04
5.000E+01 3.544E-03 7.500E-02 9.264E-04
6.000E+01 3.054E-03 7.891E-02 9.964E-04
8.000E+01 2.408E-03 8.463E-02 1.101E-03
1.000E+02 1.999E-03 8.870E-02 1.176E-03
